,created_at,text
0,Fri Mar 30 09:33:53 +0000 2018,"@NeeleshJay @Eliminastrios @Sychlops Oh Geez. I'm on the floor, laughing. 

Indeed, what a thread!"
1,Fri Mar 23 05:03:47 +0000 2018,"Was a joy having Zlatan at United. 

Always played exciting football. Always set extremely lofty ambitions. And alw… https://t.co/AxORL4rlJp"
2,Sat Mar 17 21:28:02 +0000 2018,Matic is a steal at 40!
3,Sat Mar 17 20:29:52 +0000 2018,"Valencia offers so little. 
3 tricks up his sleeve. Defenders prepare for it and he's like a troll roaming with the ball. 

Not good enough."
4,Sat Mar 17 20:23:38 +0000 2018,"Well done, Big Rom."
5,Wed Mar 14 05:08:33 +0000 2018,"Goodbye, Stephen Hawking.

Your life is nothing short of inspirational.  

Rest in Peace."
7,Tue Mar 13 21:58:37 +0000 2018,"Contain when you're up against Barca and Bayern. Hell, even Liverpool and City. 

Obliterate everyone else. 

Oh, J… https://t.co/4xGMb7ZgGr"
8,Tue Mar 13 21:45:51 +0000 2018,"I'm not Mata's biggest fan but he's far better than Alexis these days. 

Just bench Sanchez. He's not too big to be… https://t.co/ib8jHEZmHC"
9,Tue Mar 13 21:40:25 +0000 2018,"Shambolic really. 

Can't believe how we've played. 
Can't believe the team selection. 
Can't believe Mou wasn't sc… https://t.co/oqLwH52ilY"
10,Tue Mar 13 21:36:44 +0000 2018,I don't think I've seen us beat a Spanish side side Barca in 08.
11,Tue Mar 13 21:15:46 +0000 2018,Goodbye Champions League.
12,Tue Mar 13 21:01:48 +0000 2018,"Game on, now. 

Paul Labile!"
13,Tue Mar 13 20:34:26 +0000 2018,"Pogba Martial on, Alexis Fellaini off

Poor performance in the most important game of the season. 

#MUFC #UCL"
14,Tue Mar 13 20:15:14 +0000 2018,"Our midfield can't hold the ball for a single second.

Get Fellaini off, now!

#MUFC #UCL"
15,Tue Mar 13 20:06:31 +0000 2018,"Alexis, step up!

You've had enough time now."
17,Sat Mar 10 14:28:10 +0000 2018,"It's appropriate now:

I LOVE THIS GAME!"
18,Sat Mar 10 14:27:30 +0000 2018,"Wow. What a feeling. 

Chelsea last week, Liverpool today. 

Protecting a 1 goal lead gives you a high!

Glory Glor… https://t.co/Rh7T7vOwyt"
19,Sat Mar 10 13:31:49 +0000 2018,"Let's not get ahead of ourselves.

Game of two halves, let's play as well as we played the first. 

#MUFC #MUNLIV"
20,Sat Mar 10 13:09:18 +0000 2018,"Alexis is so good today.
Joy to watch. 

#MUFC #MUNLIV"
21,Sat Mar 10 12:28:11 +0000 2018,"Come on United. 

Let's do this!

#MUFC #MUNLIV"
23,Thu Mar 01 20:23:55 +0000 2018,"Wenger must surely go now. 

Can't see how he stays after this."
24,Thu Mar 01 20:14:12 +0000 2018,"Really feel bad for Arsenal supporters. 

Shambolic from their team."
25,Thu Mar 01 20:13:00 +0000 2018,Arsenal are a disgrace.
26,Sun Feb 25 16:12:46 +0000 2018,"Oh, what a feeling this is. 

Beating Chelsea at this stage of the season. 

I'm giddy as a school boy!

#MUFC #MUNCHE"
27,Thu Feb 22 09:30:11 +0000 2018,"@NeeleshJay 
Read this thread. I'm guessing you'll like it https://t.co/W53BUZBUj2"
29,Wed Feb 21 21:39:31 +0000 2018,"Alexis is a wonderful player. 

But Martial is not too bad either. 

So the marginal value of Alexis is not extreme… https://t.co/gFNRbzuGzm"
